doi,title,authors,year,month,volume,issue,page,article_number,type,subject,url
10.1088/1741-4326/aab971,Exhaust of turbulence cloud at the tongue shaped deformation event,K. Ida; T. Kobayashi; T. Tokuzawa; T. Akiyama; H. Tanaka; M. Yoshinuma; K. Itoh,2018,10,58,11,112008,,journal-article,,https://doi.org/10.1088/1741-4326/aab971
10.1088/1741-4326/aae2c7,Stress-induced hydrogen self-trapping in tungsten,R.D. Smirnov; S.I. Krasheninnikov,2018,10,58,12,126016,,journal-article,,https://doi.org/10.1088/1741-4326/aae2c7
10.1088/1741-4326/aae397,Evaluating the effects of tungsten on CFETR phase I performance,Shengyu Shi; Xiang Jian; Vincent S. Chan; Xiang Gao; Xiaoju Liu; Nan Shi; Jiale Chen; Li Liu; Muquan Wu; Yiren Zhu,2018,10,58,12,126020,,journal-article,,https://doi.org/10.1088/1741-4326/aae397
10.1088/1741-4326/aae43f,Effect of strike point displacements on the ITER tungsten divertor heat loads,S. Carli; R.A. Pitts; X. Bonnin; F. Subba; R. Zanino,2018,10,58,12,126022,,journal-article,,https://doi.org/10.1088/1741-4326/aae43f
10.1088/1741-4326/aae8b7,Observation of tungsten impurities induced 2/1 snake fluctuations and their interactions with discrete double BAE pairs on EAST,Ming Xu; T. Zhou; L.Q. Xu; L.Q. Hu; Y.M. Duan; Y. Liu; L. Zhang; T.H. Shi; Y.Y. Li; B. Lyu; H.L. Zhao; Y.J. Chen; Y. Zhang; J. Huang; G.S. Xu; Y.W. Sun; X.D. Zhang; B.N. Wan,2018,11,58,12,124004,,journal-article,,https://doi.org/10.1088/1741-4326/aae8b7
10.1088/1741-4326/aae8ef,Continuum-scale modeling of helium bubble bursting under plasma-exposed tungsten surfaces,Sophie Blondel; David E. Bernholdt; Karl D. Hammond; Brian D. Wirth,2018,11,58,12,126034,,journal-article,,https://doi.org/10.1088/1741-4326/aae8ef
10.1088/1741-4326/aae875,Flux-driven integrated modelling of main ion pressure and trace tungsten transport in ASDEX Upgrade,O. Linder; J. Citrin; G.M.D. Hogeweij; C. Angioni; C. Bourdelle; F.J. Casson; E. Fable; A. Ho; F. Koechl; M. Sertoli,2018,11,59,1,016003,,journal-article,,https://doi.org/10.1088/1741-4326/aae875
10.1088/1741-4326/aaeaee,TEM studies of 1 MeV Fe<sup>+</sup> ion-irradiated W alloys by wet chemical method: high-temperature annealing and deuterium retention,Xiao-Yu Ding; Jia-Qin Liu; Lai-Ma Luo; Qiu Xu; Xiang Gao; Jian-Jun Huang; Bin Yu; Jian-Gang Li; Yu-Cheng Wu,2018,11,59,1,016008,,journal-article,,https://doi.org/10.1088/1741-4326/aaeaee
10.1088/1741-4326/aaeeb5,"The confinement of helium tokamak plasmas, impact of electron heating, turbulent transport and zonal flows",P. Manas; C. Angioni; A. Kappatou; F. Ryter; P.A. Schneider,2018,11,59,1,014002,,journal-article,,https://doi.org/10.1088/1741-4326/aaeeb5
10.1088/1741-4326/aaec97,Stabilization of defects by the presence of hydrogen in tungsten: simultaneous W-ion damaging and D-atom exposure,E.A. Hodille; S. Markelj; T. Schwarz-Selinger; A. Založnik; M. Pečovnik; M. Kelemen; C. Grisolia,2018,11,59,1,016011,,journal-article,,https://doi.org/10.1088/1741-4326/aaec97
10.1088/1741-4326/aaefaf,Neural network performance enhancement for limited nuclear fusion experiment observations supported by simulations,Marko Blatzheim; Daniel Böckenhoff; Hauke Hölbe; Thomas Sunn Pedersen; Roger Labahn,2018,12,59,1,016012,,journal-article,,https://doi.org/10.1088/1741-4326/aaefaf
10.1088/1741-4326/aaf1f7,Influence of surface melting on the deuterium retention in pure and lanthanum oxide doped tungsten,Yue Yuan; Wangguo Guo; Peng Wang; Shilian Qu; Wei Liu; Guang-Nan Luo; Long Cheng; Guang-Hong Lu,2018,12,59,1,016022,,journal-article,,https://doi.org/10.1088/1741-4326/aaf1f7
10.1088/1741-4326/aaf084,Evaluation of tungsten influx rate and study of edge tungsten behavior based on the observation of EUV line emissions from W<sup>6+</sup> ions in HL-2A,C.F. Dong; S. Morita; Z.Y. Cui; P. Sun; K. Zhang; I. Murakami; B.Y. Zhang; Z.C. Yang; D.L. Zheng; L. Feng; Y. Li; B.Z. Fu; P. Lu; Z.B. Shi; Q.W. Yang; M. Xu; X.R. Duan,2018,12,59,1,016020,,journal-article,,https://doi.org/10.1088/1741-4326/aaf084
10.1088/1741-4326/aaf297,Interplay of solute-mixed self-interstitial atoms and substitutional solutes with interstitial and substitutional helium atoms in tungsten-transition metal alloys,Yu-Wei You; Jingjing Sun; Xuebang Wu; Yichun Xu; Tao Zhang; Ting Hao; Q.F. Fang; C.S. Liu,2018,12,59,2,026002,,journal-article,,https://doi.org/10.1088/1741-4326/aaf297
10.1088/1741-4326/aaf32e,"$\langle 0\,0\,{\rm 1}\rangle $ edge dislocation nucleation mechanism of surface blistering in tungsten exposed to deuterium plasma",Wangguo Guo; Lin Ge; Yue Yuan; Long Cheng; Shiwei Wang; Xiaona Zhang; Guang-Hong Lu,2018,12,59,2,026005,,journal-article,,https://doi.org/10.1088/1741-4326/aaf32e
10.1088/1741-4326/aaf330,Corrigendum: Continuum-scale modeling of helium bubble bursting under plasma-exposed tungsten surfaces (2018 <i>Nucl. Fusion</i> <b>58</b> 126034),Sophie Blondel; David E. Bernholdt; Karl D. Hammond; Brian D. Wirth,2018,12,59,2,029501,,journal-article,,https://doi.org/10.1088/1741-4326/aaf330
10.1088/1741-4326/aaf43f,Toughening of a low-activation tungsten alloy using tungsten short fibers and particles reinforcement for fusion plasma-facing applications,Owais Ahmed Waseem; Ho Jin Ryu,2018,12,59,2,026007,,journal-article,,https://doi.org/10.1088/1741-4326/aaf43f
10.1088/1741-4326/aaf6c9,Hydrogen isotope exchange in tungsten during annealing in hydrogen atmosphere,T. Ahlgren; P. Jalkanen; K. Mizohata; V. Tuboltsev; J. Räisänen; K. Heinola; P. Tikkanen,2019,1,59,2,026016,,journal-article,,https://doi.org/10.1088/1741-4326/aaf6c9
10.1088/1741-4326/aafe8d,Diffusion model of the impact of helium and argon impurities on deuterium retention in tungsten,M. Reinhart; A. Kreter; B. Unterberg; M. Rasinski; Ch. Linsmeier,2019,2,59,4,046004,,journal-article,,https://doi.org/10.1088/1741-4326/aafe8d
