doi,title,authors,date,url,article_type,open_access,description,source,volume,issue,section
10.1126/sciadv.adx8192,"Tailored sliding ferroelectricity for ultrahigh fatigue resistance in stacked trilayer MoS
            2
            crystals",Aiqing Fan; Qing Zhang; Zihao Yang; Lin Li; Menghan Li; Keyu Zhang; Junfeng Gao; Fan Wu (+3 more),2025,https://doi.org/10.1126/sciadv.adx8192,journal-article,,"
            Fatigue-resistant ferroelectric materials in two-dimensional systems are crucial for next-generation electronic devices, but the relationship between stacking configurations and ferroelectric behavior remains underexplored. Here, we synthesize trilayer MoS
            2
            crystals with three noncentrosymmetric stacking configurations (AAA, AAB, and ABB) using a thermal gradient chemical vapor deposition strategy. Notable variations in room-temperature ferroelectricity are observed, with polarization strength following the order AAA &gt; AAB &gt; ABB, up to 0.110 microcou",Science Advances,11,31,
10.1126/sciadv.ads2140,Reactive vapor-phase dealloying-alloying turns oxides into sustainable bulk nano-structured porous alloys,Shaolou Wei; Yan Ma; Dierk Raabe,2024-12-20,https://doi.org/10.1126/sciadv.ads2140,journal-article,,"For millennia, alloying has been the greatest gift from metallurgy to humankind: a process of mixing elements, propelling our society from the Bronze Age to the Space Age. Dealloying, by contrast, acts like a penalty: a corrosive counteracting process of selectively removing elements from alloys or compounds, degrading their structural integrity over time. We show that when these two opposite metallurgical processes meet in a reactive vapor environment, profound sustainable alloy design opportunities become accessible, enabling bulk nanostructured porous alloys directly from oxides, with zero ",Science Advances,10,51,
10.1038/s41467-024-53062-2,Upcycled high-strength aluminum alloys from scrap through solid-phase alloying,Tianhao Wang; Xiao Li; Jorge F. dos Santos,2024-12-10,https://www.nature.com/articles/s41467-024-53062-2,,Yes,The authors propose a scalable solid phase process to upcycle aluminum scrap into a high-strength alloy with 200% strength improvement. The process reduces energy consumption and carbon emissions while making customizable materials from waste by tailoring the chemical composition.,Nature Communications,,,
10.1126/sciadv.adq0083,Integrated design of aluminum-enriched high-entropy refractory B2 alloys with synergy of high strength and ductility,Jie Qi; Xuesong Fan; Diego Ibarra Hoyos; Michael Widom; Peter K. Liaw; Joseph Poon,2024-12-06,https://doi.org/10.1126/sciadv.adq0083,journal-article,,"Refractory high-entropy alloys (RHEAs) are promising high-temperature structural materials. Their large compositional space poses great design challenges for phase control and high strength-ductility synergy. The present research pioneers using integrated high-throughput machine learning with Monte Carlo simulations supplemented by ab initio calculations to effectively navigate phase selection and mechanical property predictions, developing single-phase ordered B2 aluminum-enriched RHEAs (Al-RHEAs) demonstrating high strength and ductility. These Al-RHEAs achieve remarkable mechanical properti",Science Advances,10,49,
10.1126/sciadv.adq6398,Local chemical order enables an ultrastrong and ductile high-entropy alloy in a cryogenic environment,Lifang Sun; Zhufeng He; Nan Jia; Yanxin Guo; Shuang Jiang; Yuliang Yang; Yuxin Liu; Xianjun Guan (+3 more),2024-11-29,https://doi.org/10.1126/sciadv.adq6398,journal-article,,"Owing to superior strength-ductility combination and great potential for applications in extreme conditions, high-entropy alloys (HEAs) with the face-centered cubic (FCC) structure have drawn enormous attention. However, the FCC structure limits yield strength and makes the alloys unable to meet ever-increasing demands for exploring the universe. Here, we report a strategy to obtain FCC materials with outstanding mechanical properties in both ambient and cryogenic environments, via exploiting dynamic development of the interstitial-driven local chemical order (LCO). Dense laths composed of the",Science Advances,10,48,
10.1126/sciadv.adr2886,Flexible mechano-optical dual-responsive perovskite molecular ferroelectric composites for advanced anticounterfeiting and encryption,Shengshun Duan; Pinzhen Chen; Yu-an Xiong; Fangzhi Zhao; Zhengyin Jing; Guowei Du; Xiao Wei; Shengxin Xiang (+4 more),2024-11-29,https://doi.org/10.1126/sciadv.adr2886,journal-article,,"
            Hybrid organic-inorganic molecular ferroelectrics have emerged as promising materials for multifunctional piezoelectric devices. However, they present challenges in practical applications because of their inherent brittleness and poor ductility. Herein, we present a flexible mechano-optical dual-responsive molecular ferroelectric composite by incorporating trimethylchloromethyl ammonium (TMCM)–MnCl
            3
            into styrene ethylene butylene styrene (SEBS) matrix. The SEBS/TMCM-MnCl
            3
            exhibits excellent stretchable mechanical properties (tensil",Science Advances,10,48,
10.1038/s41467-024-54482-w,Spinel oxide enables high-temperature self-lubrication in superalloys,Zhengyu Zhang; Eitan Hershkovitz; Wenjun Cai,2024-11-20,https://www.nature.com/articles/s41467-024-54482-w,,Yes,"The authors develop an approach for enhancing the wear resistance and lubricity of metals at elevated temperatures of in oxidative environments, where traditional solid lubricants fail. By engineering surface oxidation in additively manufactured Inconel, they achieve low friction coefficients, between 0.10 and 0.32 at 600-900 °C, through the formation of a spinel-based oxide layer.",Nature Communications,,,
10.1126/sciadv.ado9697,Exceptional hardness in multiprincipal element alloys via hierarchical oxygen heterogeneities,David C. Beaudry; Michael J. Waters; Gianna M. Valentino; Daniel L. Foley; Elaf Anber; Yevgeny Rakita; Charlie J. Brandenburg; Jean-Philippe Couzinié (+9 more),2024-09-20,https://doi.org/10.1126/sciadv.ado9697,journal-article,,"Refractory multiprincipal element alloys (RMPEAs) are potential successors to incumbent high-temperature structural alloys, although efforts to improve oxidation resistance with large additions of passivating elements have led to embrittlement. RMPEAs containing group IV and V elements have a balance of properties including moderate ductility, low density, and the necessary formability. We find that oxidation of group IV-V RMPEAs induces hierarchical heterogeneities, ranging from nanoscale interstitial complexes to tertiary phases. This microstructural hierarchy considerably enhances hardness ",Science Advances,10,38,
10.1126/sciadv.adp7670,Electronic descriptors for dislocation deformation behavior and intrinsic ductility in bcc high-entropy alloys,Pedro P. P. O. Borges; Robert O. Ritchie; Mark Asta,2024-09-20,https://doi.org/10.1126/sciadv.adp7670,journal-article,,"Controlling the balance between strength and damage tolerance in high-entropy alloys (HEAs) is central to their application as structural materials. Materials discovery efforts for HEAs are therefore impeded by an incomplete understanding of the chemical factors governing this balance. Through first-principles calculations, this study explores factors governing intrinsic ductility of a crucial subset of HEAs—those with a body-centered cubic (bcc) crystal structure. Analyses of three sets of bcc HEAs comprising nine different compositions reveal that alloy chemistry profoundly influences screw ",Science Advances,10,38,
10.1038/s41467-024-51387-6,Lightweight single-phase Al-based complex concentrated alloy with high specific strength,Mingliang Han; Yuan Wu; Z. P. Lu,2024-08-18,https://www.nature.com/articles/s41467-024-51387-6,,Yes,"By overcoming the limited solubility of other lighter components in aluminum using high pressure and high temperature, a low-density, high specific strength, and single-phase aluminum-based complex concentrated alloy is developed.",Nature Communications,,,
