title,authors,date,doi,url,article_type,open_access,description
Ultrastrong and ductile steel welds achieved by fine interlocking microstructures with film-like retained austenite,Joonoh Moon; Gyuyeol Bae; Dirk Ponge,2024-02-12,10.1038/s41467-024-45470-1,https://www.nature.com/articles/s41467-024-45470-1,,Yes,"Weld integrity and performance determine lifetime and safety of structures. Here, the authors report advances in weld quality of ultrahigh strength steels resulting from fine interlocking weld microstructures with film-like retained austenite by utilizing Nb and Cr instead of Ni."
Manufacturing of high strength and high conductivity copper with laser powder bed fusion,Yingang Liu; Jingqi Zhang; Ming-Xing Zhang,2024-02-12,10.1038/s41467-024-45732-y,https://www.nature.com/articles/s41467-024-45732-y,,Yes,"Copper produced by laser additive manufacturing often faces challenges with either low strength or low conductivity. Here, the authors present a design strategy to introduce uniformly dispersed nanoprecipitates during solidification, enhancing the strength while maintaining high conductivity."
Elemental partitioning-mediated crystalline-to-amorphous phase transformation under quasi-static deformation,Ge Wu; Chang Liu; Zhi-Wei Shan,2024-02-09,10.1038/s41467-024-45513-7,https://www.nature.com/articles/s41467-024-45513-7,,Yes,"The transformation induced plasticity phenomenon is usually diffusionless. Here, the authors introduce elemental partitioning mediated crystalline-to-amorphous phase transformation in a crystal-glass nanolaminated composite, realizing ultrahigh strength and large plasticity."
Critical role of slags in pitting corrosion of additively manufactured stainless steel in simulated seawater,Shohini Sen-Britain; Seongkoo Cho; Thomas Voisin,2024-01-29,10.1038/s41467-024-45120-6,https://www.nature.com/articles/s41467-024-45120-6,,Yes,"Mechanisms occurring during seawater corrosion of as-built laser powder bed fusion 316L stainless steels are largely unknown. Here, the authors show that Mn, Si-rich slags found in between laser tracks are responsible for corrosion."
Engineering metal-carbide hydrogen traps in steels,Pang-Yu Liu; Boning Zhang; Yi-Sheng Chen,2024-01-25,10.1038/s41467-024-45017-4,https://www.nature.com/articles/s41467-024-45017-4,,Yes,"Understanding how hydrogen embrittles steels and developing the solutions are crucial for enabling the hydrogen economy. Here, the authors report a materials design strategy that can increase the hydrogen trapping capacity by creating carbon vacancies in metal carbide precipitates via microalloying."
Accelerating process development for 3D printing of new metal alloys,David Guirguis; Conrad Tucker; Jack Beuth,2024-01-17,10.1038/s41467-024-44783-5,https://www.nature.com/articles/s41467-024-44783-5,,Yes,"Process development for 3D printing of new metal alloys can be time-consuming and variability in the printing outcome makes it even more challenging. Here, authors demonstrate an in-situ method using high-speed imaging and deep learning to accelerate the process design for a more consistent quality."
How solute atoms control aqueous corrosion of Al-alloys,Huan Zhao; Yue Yin; Dierk Raabe,2024-01-16,10.1038/s41467-024-44802-5,https://www.nature.com/articles/s41467-024-44802-5,,Yes,"Understanding the underlying mechanisms during corrosion is one of the grand key missions to improve the sustainability of the material world. Here, the authors combine atomic scale imaging and calculations to show how solute atoms react during aqueous corrosion of a multicomponent Al alloy."
Atomic-scale observation of nucleation- and growth-controlled deformation twinning in body-centered cubic nanocrystals,Li Zhong; Yin Zhang; Scott X. Mao,2024-01-16,10.1038/s41467-024-44837-8,https://www.nature.com/articles/s41467-024-44837-8,,Yes,"Deformation twinning in body-centered cubic (BCC) metals is generally believed to be controlled by twin nucleation, but facilitated by rapid twin growth once the nucleation energy barrier is overcome. Here, the authors demonstrate both nucleation- and growth-controlled twinning modes in BCC Ta nanocrystals depending on the crystal size."
Revealing the room temperature superplasticity in bulk recrystallized molybdenum,Wenshuai Chen; Xiyao Li; Zenglin Zhou,2023-12-14,10.1038/s41467-023-44056-7,https://www.nature.com/articles/s41467-023-44056-7,,Yes,"Body-centered cubic refractory metals are known to exhibit excellent high-temperature strength, but often suffer from brittle fracture. Here, the authors produce a bulk pure Mo with stable fine-grain structure after powder metallurgy, Y-type hot rolling and&#xa0;ultra-high temperature annealing (1000~1700 °C)&#xa0;that exhibits room temperature superplasticity."
Solute trapping and non-equilibrium microstructure during rapid solidification of additive manufacturing,Neng Ren; Jun Li; Jianguo Li,2023-12-02,10.1038/s41467-023-43563-x,https://www.nature.com/articles/s41467-023-43563-x,,Yes,"Solute transport during rapid and repeated thermal cycles is important in additive manufacturing process. Here, the authors develop a fully-coupled model to rationalise solute transport process, elemental segregation, and non-equilibrium solid/liquid interfacial evolution at sub-grain scale."
Design for improving corrosion resistance of duplex stainless steels by wrapping inclusions with niobium armour,Shucai Zhang; Hao Feng; Guoping Li,2023-11-30,10.1038/s41467-023-43752-8,https://www.nature.com/articles/s41467-023-43752-8,,Yes,"Nonmetallic inclusions often induce serious corrosion failure of steel, causing catastrophic accidents and economic losses. Here, the authors propose a strategy of wrapping deleterious inclusions with niobium armour (Z phase), improving the corrosion resistance of duplex stainless steel."
Additive manufacturing of alloys with programmable microstructure and properties,Shubo Gao; Zhi Li; Matteo Seita,2023-10-30,10.1038/s41467-023-42326-y,https://www.nature.com/articles/s41467-023-42326-y,,Yes,"The traditional way of beating metals to improve their properties is not practical to 3D printed parts with intricate geometry. Here, the authors demonstrate how to program microstructural modifications of metals site-specifically during 3D printing to tune their properties."
